pizza
Pepperoni,"Tomato sauce, Mozzarella, Pepperoni",9.50
Hawaiian,"Tomato sauce, Mozzarella, Ham, Pineapple",10.00
BBQ Chicken,"BBQ sauce, Mozzarella, Chicken, Red onions",11.00
Vegetarian,"Tomato sauce, Mozzarella, Bell peppers, Olives, Onions, Mushrooms",9.00
glace
Vanilla,"Milk, Cream, Sugar, Vanilla extract",3.50
Chocolate,"Milk, Cream, Sugar, Cocoa powder",3.75
Strawberry,"Milk, Cream, Sugar, Strawberries",3.75
Mint Chocolate Chip,"Milk, Cream, Sugar, Mint extract, Chocolate chips",4.00
Cookie Dough,"Milk, Cream, Sugar, Cookie dough pieces",4.25
