pizza,Margherita,"Tomato sauce, Mozzarella, Basil",8.50
pizza,Pepperoni,"Tomato sauce, Mozzarella, Pepperoni",9.50
pizza,Hawaiian,"Tomato sauce, Mozzarella, Ham, Pineapple",10.00
pizza,BBQ Chicken,"BBQ sauce, Mozzarella, Chicken, Red onions",11.00
pizza,Vegetarian,"Tomato sauce, Mozzarella, Bell peppers, Olives, Onions, Mushrooms",9.00
glace,Vanilla,"Milk, Cream, Sugar, Vanilla extract",3.50
glace,Chocolate,"Milk, Cream, Sugar, Cocoa powder",3.75
glace,Strawberry,"Milk, Cream, Sugar, Strawberries",3.75
glace,Mint Chocolate Chip,"Milk, Cream, Sugar, Mint extract, Chocolate chips",4.00
glace,Cookie Dough,"Milk, Cream, Sugar, Cookie dough pieces",4.25
